ID;Estrella;Fecha;Magn;Obs;Comp1;Comp2;Carta;Notas
96;W Cyg;2457543.4785;5.9;na;65;56;X16231NC;na
97;EU Del;2457543.4688;6.5;na;65;62;X16231MS;na
98;U Del;2457543.4701;6.9;na;71;68;X16231MQ;na
99;R Vul;2457543.4847;<9.7;na;97;na;X16231MZ;na
100;T Vul;2457543.4667;6.0;na;56;64;X16242DCD;na
101;U Vul;2457543.4597;7.4;na;74;77;X16241DGS;na
102;S Sge;2457543.4569;6.0;na;55;62;X16242DCE;na
103;SU Cyg;2457543.4472;6.7;na;65;67;X16242DCF;na
104;X Cyg;2457543.4542;6.2;na;62;59;X16238ADT;na
105;U Her;2457543.3750;7.1;na;70;70;X16156ANG;na
106;g Her;2457543.3882;4.6;na;48;42;X16156AKU;na
107;T Her;2457543.3924;<9.7;na;97;na;X16156ANF;na
108;AC Her;2457543.3931;7.2;na;74;69;X16208LJ;na
109;RT Cyg;2457543.4229;8.3;na;85;81;X16156CI;na
110;R Cyg;2457543.4306;<9.7;na;97;na;X16156CF;na
111;Z Cyg;2457543.4354;8.3;na;86;82;X16238ADU;na
112;AF Cyg;2457543.4271;6.9;na;69;72;X16156CJ;na
113;U Cyg;2457543.4431;9.1;na;88;97;X16156CX;na
114;khi Cyg;2457543.4493;<9.7;na;97;na;X16225DPY;na
115;bet Lyr;2457544.4257;4.2;na;43;41;2008;na
116;SU Cyg;2457544.4292;7.4;na;74;72;X16242DCF;na
117;U Vul;2457544.4354;7.7;na;77;76;X16241DGS;na
118;S Sge;2457544.4417;5.8;na;58;62;X16242DCE;na
119;X Cyg;2457544.4535;6.2;na;62;59;X16238ADT;na
120;R Del;2457544.4618;<9.2;na;92;na;X16231MV;na
121;T Vul;2457544.4660;5.3;na;49;56;X16242DCD;na
122;EU Del;2457544.4701;6.6;na;64;68;X16231MS;na
123;U Del;2457544.4722;7.0;na;68;71;X16231MQ;na
124;SU Cyg;2457545.5264;6.5;U;65;na;X16242DCF;Nubes altas
125;S Sge;2457545.5278;6.2;U;58;62;X16242DCE;Nubes altas
126;U Vul;2457545.5340;7.3;U;73;70;X16241DGS;Nubes altas
127;X Cyg;2457545.5375;6.3;U;66;na;X16238ADT;Nubes altas
128;T Vul;2457545.5396;6.0;U;64;56;X16242DCD;Nubes altas
129;SU Cyg;2457546.4326;6.5;na;65;na;X16242DCF;na
130;U Vul;2457546.4368;7.7;na;76;78;X16241DGS;na
131;S Sge;2457546.4389;6.0;na;62;55;X16242DCE;na
132;T Vul;2457546.4500;6.1;na;64;56;X16242DCD;na
133;X Cyg;2457546.4535;6.2;na;62;59;X16238ADT;na
134;W Cyg;2457546.4556;5.6;na;56;52;X16231NC;na
135;AC Her;2457547.3972;7.2;na;69;74;X16208LJ;na
136;SU Cyg;2457547.4062;6.8;na;65;68;X16242DCF;na
137;bet Lyr;2457547.4097;3.4;na;34;na;2008;na
138;U Vul;2457547.4160;7.4;na;74;76;X16241DGS;na
139;S Sge;2457547.4194;6.0;na;58;62;X16242DCE;na
140;T Vul;2457547.4340;6.2;na;64;na;X16242DCD;na
141;X Cyg;2457547.4382;6.4;na;66;62;X16238ADT;na
142;EU Del;2457547.4500;6.6;na;68;64;X16231MS;na
143;U Del;2457547.4486;7.0;na;68;71;X16231MQ;na
144;SU Cyg;2457548.4306;6.7;U;67;65;X16242DCF;Calima
145;U Vul;2457548.4340;7.1;U;70;73;X16241DGS;Calima
146;S Sge;2457548.4361;5.2;U;55;50;X16242DCE;Calima
147;X Cyg;2457548.4389;6.2;U;62;66;X16238ADT;Calima
148;bet Lyr;2457548.4431;3.4;U;32;na;2008;Calima
149;T Vul;2457548.4493;5.7;U;56;na;X16242DCD;Calima
150;SU Cyg;2457549.4062;6.4;na;65;na;X16242DCF;na
151;bet Lyr;2457549.4097;3.7;na;34;na;2008;na
152;X Cyg;2457549.4896;6.1;na;62;59;X16238ADT;na
153;U Vul;2457549.4931;6.7;na;68;65;X16241DGS;na
154;S Sge;2457549.4937;5.4;na;55;50;X16242DCE;na
155;T Vul;2457549.4944;5.6;na;56;na;X16242DCD;na
156;SU Cyg;2457550.4097;6.5;na;65;na;X16242DCF;na
157;RT Cyg;2457550.4167;8.5;na;85;89;X16156CI;na
158;AF Cyg;2457550.4188;7.0;na;69;72;X16156CJ;na
159;R Cyg;2457550.4194;<9.7;na;97;na;X16156CF;na
160;U Cyg;2457550.4236;8.8;na;88;na;X16156CX;na
161;Z Cyg;2457550.4264;8.6;na;86;na;X16238ADU;na
162;T Her;2457550.4278;<9.7;na;97;na;X16156ANF;na
163;AC Her;2457550.4306;7.1;na;69;72;X16208LJ;na
164;khi Cyg;2457550.4312;10.0;na;100;na;X16225DPY;na
165;S Sge;2457550.4347;5.3;na;50;55;X16242DCE;na
166;U Vul;2457550.4361;7.2;na;70;73;X16241DGS;na
167;T Vul;2457550.4375;5.3;na;56;49;X16242DCD;na
168;R Sge;2457550.4431;8.9;na;89;94;X16231KH;na
169;R Vul;2457550.4472;<9.7;na;97;na;X16231MZ;na
170;X Cyg;2457550.4493;6.5;na;65;66;X16238ADT;na
171;W Cyg;2457550.4556;6.0;na;56;65;X16231NC;na
172;U Del;2457550.4590;7.1;na;68;71;X16231MQ;na
173;EU Del;2457550.4597;6.6;na;64;68;X16231MS;na
174;RR Lyr;2457550.4062;7.9;na;79;na;X16208FA;na
175;RR Lyr;2457550.4618;7.6;na;76;na;X16208FA;na
176;U Her;2457551.3792;7.4;na;74;73;X16156ANG;na
177;g Her;2457551.3813;5.0;na;55;42;X16156AKU;na
178;bet Lyr;2457551.3889;3.7;na;37;na;2008;na
179;S Sge;2457551.3986;5.5;na;55;na;X16242DCE;na
180;SU Cyg;2457551.4021;6.7;na;67;65;X16242DCF;na
181;X Cyg;2457551.4104;6.5;na;65;66;X16238ADT;na
182;T Vul;2457551.4215;6.4;na;64;na;X16242DCD;na
183;U Vul;2457551.4229;7.2;na;73;70;X16241DGS;na
184;R Del;2457551.4347;<9.7;na;97;na;X16231MV;na
185;U Del;2457551.4389;6.9;na;68;71;X16231MQ;na
186;EU Del;2457551.4417;6.5;na;64;68;X16231MS;na
187;W Cyg;2457551.4528;6.2;na;65;56;X16231NC;na
188;SU Cyg;2457552.4347;7.2;na;72;74;X16242DCF;na
189;U Sge;2457552.4410;9.3;na;93;98;X16231KL;na
190;U Vul;2457552.4424;7.7;na;76;77;X16241DGS;na
191;S Sge;2457552.4438;5.8;na;58;62;X16242DCE;na
192;T Vul;2457552.4451;5.9;na;64;56;X16242DCD;na
193;bet Lyr;2457552.4465;3.4;na;34;na;2008;na
194;X Cyg;2457552.4521;6.5;na;65;66;X16238ADT;na
195;S Sge;2457553.4458;6.1;na;58;62;X16242DCE;na
196;T Vul;2457553.4514;5.4;na;56;49;X16242DCD;na
197;U Vul;2457553.4493;7.8;na;78;76;X16241DGS;na
198;SU Cyg;2457553.4556;6.3;na;65;60;X16242DCF;na
199;X Cyg;2457553.4576;6.9;na;69;66;X16238ADT;na
200;bet Lyr;2457553.4479;3.3;na;34;32;2008;na
201;R Sge;2457553.4646;8.5;na;85;89;X16231KH;na
202;U Del;2457553.4667;7.0;na;71;68;X16231MQ;na
203;EU Del;2457553.4681;6.4;na;64;62;X16231MS;na
204;SU Cyg;2457554.4243;6.7;na;67;65;X16242DCF;na
205;bet Lyr;2457554.4201;3.2;na;32;na;2008;na
206;S Sge;2457554.4319;6.1;na;58;62;X16242DCE;na
207;T Vul;2457554.4368;6.1;na;64;56;X16242DCD;na
208;U Vul;2457554.4333;7.6;na;76;77;X16241DGS;na
209;X Cyg;2457554.4299;6.9;na;69;72;X16238ADT;na
210;SU Cyg;2457555.4257;6.9;na;69;72;X16242DCF;na
211;U Vul;2457555.4278;7.7;na;77;76;X16241DGS;na
212;T Vul;2457555.4299;6.1;na;64;56;X16242DCD;na
213;S Sge;2457555.4285;5.8;na;58;62;X16242DCE;na
214;X Cyg;2457555.4340;7.0;na;69;72;X16238ADT;na
215;bet Lyr;2457555.4403;3.2;na;32;na;2008;na
216;P Cyg;2457555.4410;5.2;na;50;56;X16231ND;na
