ID;Estrella;Fecha;Magn;Obs;Comp1;Comp2;Carta;Notas
415;V Cas;2457652.3403;7.5;na;73;na;X16418JL;na
416;RS And;2457652.3472;9.0;na;88;na;X16418NH;na
417;WZ Cas;2457652.3833;7.7;na;77;79;X16317BAC;na
418;V465 Cas;2457652.3882;6.7;na;67;64;X16317BAE;na
419;W Tri;2457652.4132;8.2;na;86;80;X16413NQ;na
420;R Tri;2457652.4188;9.4;na;94;91;X16413NQ;na
421;RR Lac;2457653.3410;9.3;na;93;91;X16352QI;na
422;Z Lac;2457653.3424;8.3;na;83;na;X16352QI;na
423;Z Lac;2457654.3368;8.3;na;83;76;X16352QI;na
424;RR Lac;2457654.3403;9.2;na;92;88;X16352QI;na
425;TU Cas;2457654.4132;8.0;na;82;na;X16587UK;na
426;UX And;2457654.4250;8.7;na;87;82;X16611S;na
427;W And;2457654.4167;<9.9;na;99;na;X16611O;na
428;Z Lac;2457658.3222;8.6;na;88;83;X16352QI;na
429;RR Lac;2457658.3264;9.0;na;89;91;X16352QI;na
430;W Cyg;2457658.2847;5.9;na;56;65;X16231NC;na
431;RR Lac;2457659.3153;8.8;na;88;na;X16352QI;na
432;Z Lac;2457659.3160;8.7;na;88;na;X16352QI;na
433;RR Lac;2457661.3056;9.2;na;92;93;X16352QI;na
434;Z Lac;2457661.3090;8.6;na;88;83;X16352QI;na
435;WZ Cas;2457661.3125;7.9;na;79;80;X16317BAC;na
436;V Cas;2457661.3160;7.2;na;73;71;X16418JL;na
437;RS And;2457661.3194;9.1;na;88;97;X16418NH;na
438;EG And;2457661.3333;7.3;na;73;76;X16418MY;na
439;V465 Cas;2457661.3743;6.2;na;64;58;X16317BAE;na
440;Z Lac;2457662.3090;8.5;na;83;na;X16352QI;na
441;RR Lac;2457662.3125;8.6;na;88;na;X16352QI;na
442;Z Lac;2457664.3160;7.8;na;76;83;X16352QI;na
443;RR Lac;2457664.3167;8.8;na;88;92;X16352QI;na
444;R Tri;2457664.4021;8.6;na;86;84;X16413NQ;na
445;W Tri;2457664.4035;8.1;na;80;86;X16413NQ;na
446;khi Cyg;2457664.4417;5.5;na;55;50;X16225DPY;na
447;Z Lac;2457665.3229;8.5;na;88;83;X16352QI;na
448;RR Lac;2457665.3229;9.3;na;93;92;X16352QI;na
449;RR Lac;2457666.3021;9.3;na;93;92;X16352QI;na
450;Z Lac;2457666.3021;8.3;na;83;88;X16352QI;na
451;EG And;2457666.3292;7.6;na;76;73;X16418MY;na
452;RR Lac;2457668.2993;8.9;na;89;88;X16352QI;na
453;Z Lac;2457668.3007;8.6;na;88;83;X16352QI;na
454;RR Lac;2457672.2917;8.8;LB;88;na;X16352QI;na
455;Z Lac;2457672.2917;8.8;LB;88;na;X16352QI;na
456;R Tri;2457689.3354;7.6;na;76;77;X16413NQ;na
457;W Tri;2457689.3389;8.1;na;80;84;X16413NQ;na
458;RS And;2457691.2764;8.8;na;88;90;X16418NH;na
459;WZ Cas;2457691.2799;7.7;na;77;79;X16317BAC;na
460;V465 Cas;2457691.2826;6.6;na;64;67;X16317BAE;na
461;EG And;2457691.2882;7.3;na;73;76;X16418MY;na
462;UU Aur;2457691.4799;5.7;na;57;na;X16735DI;na
463;psi1 Aur;2457691.4826;5.4;na;50;57;X16735IK;na
464;LY Aur;2457691.4861;6.5;na;67;na;X16723TA;na
465;SU Aur;2457691.4910;9.5;na;95;na;X16435PO;na
466;AB Aur;2457691.4924;6.8;na;67;na;X16435PO;na
467;W Tri;2457694.3042;8.2;na;80;86;X16413NQ;na
468;R Tri;2457694.3062;6.5;na;69;67;X16413NQ;na
469;UV Aur;2457695.4271;8.5;na;87;81;X16894ACH;na
470;UU Aur;2457722.3590;5.7;na;57;na;X16735DI;na
471;LY Aur;2457722.3604;6.5;na;67;59;X16723TA;na
472;AB Aur;2457722.3639;6.7;na;67;na;X16435PO;na
473;SU Aur;2457722.3646;9.3;na;92;95;X16435PO;na
474;R Tri;2457730.2778;6.6;na;58;69;X16413NQ;na
475;W Tri;2457730.2812;8.2;na;80;84;X16413NQ;na
476;V Boo;2457852.3986;8.8;B;89;92;X16210MZ;Luna
477;R Boo;2457852.4000;<9.0;B;90;na;X16210NI;Luna
478;R CrB;2457852.4250;8.2;B;81;84;X16210UF;Luna
479;RR CrB;2457855.4451;7.9;B;75;82;X18423ATF;Luna
480;RX Boo;2457855.4486;7.9;B;79;82;X18423ATH;Luna
481;S CrB;2457855.4521;<9.6;B;96;na;X16210ABN;Luna
482;S CrB;2457879.4000;<9.6;na;96;na;X16210ABN;na
483;RR CrB;2457879.4042;7.6;na;75;72;X18423ATF;na
484;R CrB;2457879.4056;7.8;na;78;81;X16210UF;na
485;T Her;2457879.4160;<9.7;na;97;na;X16156ANF;na
486;R Boo;2457880.3854;<9.0;na;90;na;X16210NI;na
487;U Her;2457880.3965;<9.9;na;99;na;X16156ANG;na
488;RU Her;2457880.4028;<10.0;na;100;na;X16210AHI;na
489;X Her;2457880.4076;6.7;na;66;69;X16156AKT;na
490;ST Her;2457880.4111;7.8;na;78;na;X16208FI;na
491;RX Boo;2457881.3917;8.0;na;79;82;X18423ATH;na
492;X Her;2457895.3806;6.3;na;66;60;X16156AKT;na
493;ST Her;2457895.3840;7.8;na;78;72;X16208FI;na
494;RU Her;2457895.3889;<9.6;na;96;na;X16210AHI;na
495;U Her;2457895.3937;<9.4;na;94;78;X16156ANG;na
496;R CrB;2457896.3792;7.6;na;76;78;X16210UF;na
497;S CrB;2457896.3826;<9.6;na;96;na;X16210ABN;na
498;RR CrB;2457896.3924;8.0;na;82;75;X18423ATF;na
499;AC Her;2457896.3986;7.8;na;74;81;X16208LJ;na
500;W Lyr;2457896.4403;8.7;na;89;84;X18748BYH;na
501;HK Lyr;2457896.4458;8.0;na;83;75;X18641FJ;na
502;T Lyr;2457896.4493;8.4;na;81;86;X18641FJ;na
503;XY Lyr;2457896.4514;6.3;na;65;61;X18641FJ;na
504;W Lyr;2457905.4257;9.2;na;92;90;X18748BYH;na
505;AC Her;2457911.4160;7.4;na;74;72;X16208LJ;na
506;V Vul;2457911.4236;8.6;na;86;89;X18876LV;na
507;W Lyr;2457920.4250;<9.7;na;97;na;X18748BYH;na
508;HK Lyr;2457920.4292;7.9;na;83;75;X18641FJ;na
509;T Lyr;2457920.4312;8.6;na;86;81;X18641FJ;na
510;V Vul;2457920.4375;<9.5;na;95;na;X18876LV;na
511;W Cep;2457930.5069;7.4;na;73;76;X19325GV;na
512;RW Cep;2457930.5118;7.2;na;71;73;X19325GV;na
513;T Cep;2457932.4486;7.4;na;69;77;X19502VX;na
514;AC Her;2457933.3840;7.5;na;74;78;X16208LJ;na
515;T Lyr;2457933.3903;8.5;na;86;81;X18641FJ;na
516;W Lyr;2457933.3931;<9.7;na;97;na;X18748BYH;na
517;HK Lyr;2457933.3958;8.0;na;83;75;X18641FJ;na
518;XY Lyr;2457933.4035;5.9;na;61;56;X18641FJ;na
519;T Her;2457933.3993;<9.7;na;97;na;X16156ANF;na
520;X Lyr;2457933.4104;9.2;na;92;96;X19320KX;na
521;khi Cyg;2457933.4146;9.6;na;96;97;X16225DPY;na
522;R Cyg;2457933.4194;<9.7;na;97;na;X16156CF;na
523;RT Cyg;2457933.4208;8.5;na;85;88;X16156CI;na
524;U Cyg;2457933.4243;9.7;na;102;na;X16156CX;na
525;AF Cyg;2457933.4278;7.3;na;72;76;X16156CJ;na
526;V Vul;2457933.4361;9.3;na;93;na;X18876LV;na
527;R Vul;2457933.4403;<9.7;na;97;na;X16231MZ;na
528;W Cyg;2457933.4431;5.6;na;56;52;X16231NC;na
529;U Del;2457933.4444;6.6;na;66;65;X16231MQ;na
530;EU Del;2457933.4465;5.9;na;62;na;X16231MS;na
531;Z Cyg;2457935.4542;<10.2;na;102;na;X16275CHP;na
532;khi Cyg;2457956.4090;7.8;na;75;82;X16225DPY;na
533;AF Cyg;2457958.3799;7.9;na;76;82;X16156CJ;na
534;R Cyg;2457958.3833;<9.7;na;97;na;X16156CF;na
535;RT Cyg;2457958.3847;<9.9;na;99;na;X16156CI;na
536;V Vul;2457958.3896;8.7;na;86;89;X18876LV;na
537;W Cep;2457958.3944;7.3;na;73;na;X19325GV;na
538;RW Cep;2457958.3972;6.9;na;71;66;X19325GV;na
539;T Cep;2457958.4014;8.1;na;81;80;X19502VX;na
540;R Vul;2457958.4132;<9.7;na;97;na;X16231MZ;na
541;U Cyg;2457959.3875;9.2;na;97;88;X16156CX;na
542;Z Cyg;2457959.3917;<10.2;na;102;na;X16275CHP;na
543;W Cyg;2457959.4000;5.9;na;56;na;X16231NC;na
544;SS Cyg;2457959.4028;8.9;na;86;91;X16210BCY;na
545;SS Cyg;2457960.4194;9.1;na;91;na;X16210BCY;na
546;V1339 Cyg;2457960.4229;6.2;na;65;56;X16231NC;na
547;SS Cyg;2457963.4132;9.8;na;98;96;X16210BCY;na
